"gene","direction"
"GABRA2","down"
"HLF","down"
"TSHZ3","down"
"PTPRN2","down"
"RNF180","down"
"GPRASP1","down"
"PWWP3B","down"
"STAR","down"
"PCDH9","down"
"TMEM150C","down"
"GPRASP2","down"
"PID1","down"
"SMAD9","down"
"WDFY3-AS2","down"
"RNASE4","down"
"DMRTC1","down"
"NBEA","down"
"PEG3-AS1","down"
"MCC","down"
"NR2F1-AS1","down"
"PLD5","down"
"NAP1L2","down"
"CNRIP1","down"
"CDK15","down"
"HNRNPD","down"
"C1QTNF7","down"
"GAS1RR","down"
"B3GALT2","down"
"TSPAN5","down"
"SDC2","down"
"GPAT3","down"
"CPED1","down"
"HNRNPDL","down"
"SIGLEC11","down"
"AKAP12","down"
"SPART","down"
"EPCIP","down"
"GPM6A","down"
"TBC1D4","down"
"PABIR3","down"
"ACADL","down"
"CDO1","down"
"LRCH2","down"
"CTNNAL1","down"
"AKT3","down"
"CIRBP","down"
"SMARCA2","down"
"CHGB","down"
"NAP1L3","down"
"FAM153B","down"
"TCEAL2","down"
"PEG3","down"
"LRRN4CL","down"
"TXNL1","down"
"GSTM3","down"
"NDN","down"
"DNAJC18","down"
"TPR","down"
"NAP1L5","down"
"RBMS3","down"
"RORA","down"
"CPQ","down"
"DNAJC12","down"
"ANG","down"
"PRKAR2B","down"
"HCFC2","down"
"LIMCH1","down"
"RNF128","down"
"PCSK5","down"
"ARHGAP6","down"
"C8orf88","down"
"HS3ST1","down"
"STAMBPL1","down"
"LRFN5","down"
"MAGEH1","down"
"PDE7B","down"
"TBX3","down"
"CCDC68","down"
"ECM2","down"
"PGR","down"
"SYNE1","down"
"RUNDC3B","down"
"FGF2","down"
"SYTL4","down"
"GNB5","down"
"HNMT","down"
"H3-3B","down"
"MAGI2-AS3","down"
"ITFG1","down"
"NR3C2","down"
"BCL2","down"
"AFF3","down"
"CCBE1","down"
"ARMCX4","down"
"NT5E","down"
"LIX1L","down"
"GDAP1","down"
"CLSTN2","down"
"RGS22","down"
"ELAVL2","down"
"COL4A6","down"
"HS6ST2","down"
"CDH11","down"
"FLRT3","down"
"HELQ","down"
"PNPLA4","down"
"CBX7","down"
"ZDHHC2","down"
"PLEKHH2","down"
"NR2F2","down"
"BDH2","down"
"TCEAL7","down"
"N4BP2L1","down"
"ANTXR2","down"
"ARX","down"
"KCNT2","down"
"SMIM48","down"
"UFSP2","down"
"FKBP7","down"
"GALNT10","down"
"NR2F1","down"
"AOX1","down"
"ABCA8","down"
"CBLN4","down"
