"gene","direction"
"FOXM1","up"
"BIRC5","up"
"SLC25A16","up"
"KIF1A","up"
"KIF18B","up"
"ASPM","up"
"UBE2C","up"
"DUXAP8","up"
"CDCA3","up"
"DPP3","up"
"ETV6","up"
"GAK","up"
"PTH2R","up"
"COL9A1","up"
"NR2F6","up"
"CD24","up"
"CRABP2","up"
"NCAPH","up"
"CENPA","up"
"SLC39A4","up"
"KIFC2","up"
"TPSAB1","up"
"JAG2","up"
"CDKN3","up"
"VTCN1","up"
"TFAP2A","up"
"PRKCI","up"
"SCRIB","up"
"KIF4A","up"
"PALM3","up"
"TACC3","up"
"VEGFA","up"
"TPX2","up"
"PKM","up"
"TMPRSS4","up"
"PBK","up"
"PROM2","up"
"ARHGAP11B","up"
"ECT2","up"
"SACK1D","up"
"CENPU","up"
"UCK2","up"
"RACGAP1","up"
"CHD7","up"
"MARVELD3","up"
"TRIM47","up"
"LYNX1-SLURP2","up"
"NOTCH3","up"
"CDK1","up"
"NCAPG","up"
"LINC00511","up"
"RRM2","up"
"CENPF","up"
"GINS1","up"
"PEA15","up"
"CP","up"
"SPTBN2","up"
"SP3P","up"
"TNNT1","up"
"CCNB2","up"
"HJURP","up"
"PCLAF","up"
"CDCA5","up"
"PPP1CA","up"
"LAMC1","up"
"SLC52A3","up"
"LINC01215","up"
"ESRRA","up"
"CENPK","up"
"GPM6B","up"
"PYCR3","up"
"FANCD2","up"
"ZWINT","up"
"F11R","up"
"L1CAM","up"
"PLXND1","up"
"SQLE","up"
"PIK3C2B","up"
"ABHD11","up"
"HSPG2","up"
"RNFT2","up"
"KIF11","up"
"DTL","up"
"LARP4B","up"
"TGOLN2","up"
"PRAME","up"
"BORCS8","up"
"MMP7","up"
"ESPL1","up"
"ZSCAN16","up"
"STC2","up"
"BID","up"
"GAS5","up"
"FLAD1","up"
"RCC2","up"
"ST6GALNAC1","up"
"AURKB","up"
"STYK1","up"
"BAIAP2L1","up"
"RNASEH2A","up"
"TAGLN2","up"
"MKI67","up"
"POLQ","up"
"COL4A1","up"
"DTYMK","up"
"RAD51AP1","up"
"PTK6","up"
"ST6GAL1","up"
"PPP1R14B","up"
"SLC44A2","up"
"S100A4","up"
"DYRK2","up"
"LARGE2","up"
"FOXQ1","up"
"JPT1","up"
"SMC4","up"
"POLR2H","up"
"KIF2C","up"
"ADD2","up"
"RGS19","up"
"INAVA","up"
"PAX8","up"
"H2BC5","up"
"TTK","up"
"CDC25C","up"
"SPC24","up"
"LRP8","up"
"MX2","up"
"SORD","up"
"BACE2","up"
"MELK","up"
"SAMD1","up"
"STON2","up"
"GFOD1","up"
