"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1565641_at",6.01844229430376,10.614250557118,46.5288289345796,1.35997119494357e-51,7.43564250835397e-47,104.668395069388
"1554442_at",4.54061656893032,11.4165222189346,37.905379345435,5.14176231235657e-46,1.40562927214048e-41,93.1199041114641
"1557717_at",-7.852687219299,4.27894635641664,-37.0652935669281,2.06868225977198e-45,3.77017341843443e-41,91.8389851678411
"1553797_a_at",-4.51880904809032,5.3340217223742,-31.8258761138777,2.46753643444227e-41,3.37281386382828e-37,83.0804068638487
"206581_at",-4.77458994863226,7.2082504904495,-31.1924623283931,8.41290210895026e-41,9.19950845613711e-37,81.9218607543511
"229207_x_at",4.79334548982105,10.5677666308919,29.7199989329755,1.58772550148145e-39,1.44681486322497e-35,79.13535249504
"242773_at",4.43827896600147,8.42867645405798,29.5937190384632,2.05462277419897e-39,1.60480714541898e-35,78.8900765903118
"233399_x_at",-3.73314247759314,7.30777581389203,-27.9991968723375,5.79334811686524e-38,3.9580712448664e-34,75.7026297310277
"1565772_at",5.56048553906883,9.51262903667719,27.9444767104283,6.51534361294881e-38,3.9580712448664e-34,75.5901806033651
"223597_at",-5.57377656451103,7.75892683433207,-27.8081826967422,8.73683238193028e-38,4.77686310482038e-34,75.3091873370877
"1567333_at",-8.35335045111258,4.72595026337089,-26.6175579365354,1.19515571787236e-36,5.94046717042468e-33,72.7978784264412
"1553943_at",2.08988069541578,7.67497963679132,25.5520637581972,1.35103210448285e-35,6.15564002604998e-32,70.4606363146568
"235021_at",-4.67917074723463,4.28664771209009,-25.2742609241509,2.57763717015805e-35,1.08409470983378e-31,69.836671261961
"215598_at",-2.63981241058371,5.81217812085203,-25.0256889599668,4.61748330949521e-35,1.75753403177278e-31,69.2731017982769
"206729_at",-2.63401396649841,5.95725306494461,-25.0073104148519,4.82176689100899e-35,1.75753403177278e-31,69.2312343210722
"1570046_at",-8.64248538847736,3.92925211631551,-24.8887071714599,6.37978871979089e-35,2.18009342659104e-31,68.960384807638
"1569105_at",3.55251479072373,11.4159346604218,24.6787168882979,1.05017755623297e-34,3.22966426028593e-31,68.4780011737569
"1552568_at",4.18191313929888,9.02349690929027,24.673517560552,1.0632639540036e-34,3.22966426028593e-31,68.4660111492578
"1554488_at",-3.45282766432183,5.16698024351763,-24.2765020492989,2.75461028182758e-34,7.92675353468016e-31,67.5437870895439
"1562736_at",-3.97695781256098,5.90586600516944,-24.1094655379254,4.12693840625603e-34,1.12820178681024e-30,67.1517991023763
