"gene","MeanDecreaseGini"
"205068_s_at",0.0255
"207847_s_at",0.0235
"213869_x_at",0.0235
"231709_x_at",0.023
"205044_at",0.021
"206812_at",0.016
"220701_at",0.016
"1564148_at",0.016
"205473_at",0.0155
"209644_x_at",0.0155
"204260_at",0.0155
"220638_s_at",0.0155
"222675_s_at",0.0155
"229273_at",0.0155
"206068_s_at",0.0155
"204962_s_at",0.0155
"1556775_at",0.0155
"232878_at",0.0155
"230595_at",0.0155
"237688_at",0.0155
"33323_r_at",0.0155
"231311_at",0.0155
"230751_at",0.0155
"225822_at",0.0155
"221731_x_at",0.0155
"204667_at",0.0155
"1562336_at",0.0155
"219643_at",0.0155
"213228_at",0.0155
"206030_at",0.0155
"223062_s_at",0.0155
"231007_at",0.015
"202833_s_at",0.015
"232361_s_at",0.015
"222334_at",0.015
"215972_at",0.015
"230633_at",0.015
"208997_s_at",0.015
"242340_at",0.015
"207109_at",0.015
"224918_x_at",0.014
"209470_s_at",0.014
"1556402_at",0.014
"240743_at",0.014
"241805_at",0.014
"204464_s_at",0.014
"207850_at",0.0135
"65517_at",0.0135
"235077_at",0.0135
"216248_s_at",0.0135
"1556209_at",0.0135
"217767_at",0.0135
"1555385_at",0.0135
"234640_x_at",0.0135
"1569387_at",0.0135
"204268_at",0.012
"202503_s_at",0.012
"204709_s_at",0.012
"214945_at",0.012
"204446_s_at",0.0115
"220794_at",0.011
"205479_s_at",0.0095
"209728_at",0.008
"222281_s_at",0.008
"206799_at",0.008
"201428_at",0.008
"205890_s_at",0.008
"201510_at",0.008
"210052_s_at",0.008
"227480_at",0.008
"229842_at",0.008
"205680_at",0.008
"202504_at",0.008
"266_s_at",0.008
"1560425_s_at",0.008
"242468_at",0.008
"229616_s_at",0.008
"223754_at",0.008
"214058_at",0.008
"203535_at",0.008
"229927_at",0.008
"214803_at",0.008
"239381_at",0.008
"216834_at",0.008
"204475_at",0.008
"211086_x_at",0.008
"1553179_at",0.008
"208250_s_at",0.008
"232111_at",0.008
"227452_at",0.008
"204548_at",0.008
"202357_s_at",0.008
"1552797_s_at",0.008
"238717_at",0.008
"204664_at",0.008
"209464_at",0.008
"211603_s_at",0.008
"211002_s_at",0.008
"239012_at",0.008
"211122_s_at",0.008
"206371_at",0.008
"239105_at",0.008
"213745_at",0.008
"209891_at",0.008
"214651_s_at",0.008
"200606_at",0.008
"219874_at",0.008
"221655_x_at",0.008
"202856_s_at",0.008
"209591_s_at",0.008
"218693_at",0.008
"205157_s_at",0.008
"205440_s_at",0.008
"215047_at",0.008
"205986_at",0.008
"234078_at",0.008
"218368_s_at",0.008
"229839_at",0.008
"234529_at",0.008
"1553301_a_at",0.008
"236307_at",0.008
"209924_at",0.008
"232077_s_at",0.008
"213217_at",0.008
"1560144_at",0.008
"205899_at",0.008
"1558176_at",0.008
"210684_s_at",0.008
"228069_at",0.008
"202546_at",0.008
"241986_at",0.008
"204719_at",0.008
"201286_at",0.008
"214286_at",0.008
"222750_s_at",0.008
"219866_at",0.008
"244773_at",0.008
"219211_at",0.008
"1556263_s_at",0.008
"205609_at",0.008
"41037_at",0.008
"231620_at",0.008
"205752_s_at",0.008
"234103_at",0.008
"227899_at",0.008
"209201_x_at",0.008
"207482_at",0.008
"244023_at",0.008
"238852_at",0.008
"230861_at",0.008
"225792_at",0.008
"211602_s_at",0.008
"234118_at",0.008
"237945_at",0.008
"231214_at",0.008
"215342_s_at",0.008
"211343_s_at",0.008
"202638_s_at",0.008
"207076_s_at",0.008
"238483_at",0.008
"206287_s_at",0.008
"1558034_s_at",0.0075
"202580_x_at",0.0075
"204870_s_at",0.0075
"1555942_a_at",0.0075
"204259_at",0.0075
"214183_s_at",0.0075
"203764_at",0.0075
"226755_at",0.0075
"1563933_a_at",0.0075
"228509_at",0.0075
"208650_s_at",0.0075
"209692_at",0.0075
"209875_s_at",0.0075
"228377_at",0.0075
"205569_at",0.0075
"205207_at",0.0075
"226403_at",0.0075
"202411_at",0.0075
"1559459_at",0.0075
"216379_x_at",0.0075
"203755_at",0.0075
"205302_at",0.0075
"208998_at",0.0075
"225301_s_at",0.0075
"1554190_s_at",0.0075
"213240_s_at",0.0075
"219355_at",0.0075
"211682_x_at",0.0075
"219993_at",0.0075
"227642_at",0.0075
"206023_at",0.0075
"205533_s_at",0.0075
"219144_at",0.0075
"209642_at",0.0075
"237269_at",0.0075
"233706_at",0.0075
"205742_at",0.0075
"231018_at",0.0075
"217002_s_at",0.0075
"229811_at",0.0075
"1563121_at",0.0075
"222062_at",0.0075
"223631_s_at",0.0075
"232850_at",0.0075
"202525_at",0.0075
"231773_at",0.0075
"216039_at",0.0075
"213880_at",0.0075
"232682_at",0.0075
"221591_s_at",0.0075
"239708_at",0.0075
"206340_at",0.0075
"212022_s_at",0.0075
"58916_at",0.0075
"210292_s_at",0.0075
"228589_at",0.0075
"228302_x_at",0.0075
"203967_at",0.0075
"1555935_s_at",0.0075
"230068_s_at",0.0075
"229292_at",0.0075
"205901_at",0.0075
"209269_s_at",0.0075
"231706_s_at",0.0075
"243805_at",0.0075
"227371_at",0.0075
"1552368_at",0.0075
"218585_s_at",0.0075
"215078_at",0.0075
"1553423_a_at",0.0075
"229461_x_at",0.0075
"207039_at",0.0075
"204444_at",0.0075
"221520_s_at",0.0075
"217649_at",0.0075
"229134_at",0.0075
"241538_at",0.0075
"211767_at",0.0075
"228601_at",0.0075
"213174_at",0.0075
"208190_s_at",0.0075
"241060_x_at",0.0075
"228955_at",0.0075
"205286_at",0.0075
"1555997_s_at",0.0075
"1553171_x_at",0.0075
"203304_at",0.0075
"1554629_at",0.0075
"203998_s_at",0.0075
"219692_at",0.0075
"202954_at",0.0075
"241585_at",0.0075
"216465_at",0.0075
"227103_s_at",0.0075
"1562234_a_at",0.0075
"244035_at",0.0075
"212732_at",0.0075
"220180_at",0.0075
"241045_at",0.0075
"220030_at",0.0075
"213085_s_at",0.0075
"204798_at",0.0075
"1562367_at",0.0075
"219093_at",0.0075
"227372_s_at",0.0075
"222680_s_at",0.0075
"40093_at",0.0075
"202917_s_at",0.0075
"243277_x_at",0.0075
"236489_at",0.0075
"217534_at",0.0075
"1559437_at",0.0075
"213515_x_at",0.0075
"242324_x_at",0.0075
"228504_at",0.0075
"201688_s_at",0.0075
"1556971_a_at",0.0075
"206058_at",0.0075
"210524_x_at",0.0075
"236709_at",0.0075
"236714_at",0.0075
"207571_x_at",0.0075
"214265_at",0.0075
"223653_x_at",0.0075
"203214_x_at",0.0075
"233617_at",0.0075
"203913_s_at",0.0075
"203439_s_at",0.0075
"206310_at",0.0075
"213904_at",0.0075
"235842_at",0.0075
"226225_at",0.0075
"203963_at",0.0075
"222926_at",0.0075
"233392_at",0.0075
"223519_at",0.0075
"210815_s_at",0.0075
"1569609_at",0.0075
"223233_s_at",0.0075
"223529_at",0.0075
"233301_at",0.0075
"201761_at",0.0075
"235965_at",0.0075
"227719_at",0.0075
"203809_s_at",0.0075
"208048_at",0.0075
"222722_at",0.0075
"211518_s_at",0.0075
